# file...... substation_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+400-1.01754e-05d,+1.75284-0.384177j,+717.779+12.3623d,+400-120d,-1.21244-1.32363j,+717.997+12.4895d,+400+120d,-1.18925+1.33335j,+714.661-11.7305d
2009-01-01 00:46:00 PST,+inf-8.51722d,-nan+nanj,-nan-nand,+inf+111.575d,-nan+nanj,-nan-nand,+inf-128.651d,-nan+nanj,-nan-nand
2009-01-01 00:47:00 PST,+inf-0.0138832d,-nan+nanj,-nan-nand,+inf-120.108d,-nan+nanj,-nan-nand,+inf+120.122d,-nan+nanj,-nan-nand
2009-01-01 00:48:00 PST,+inf-8.5165d,-nan+nanj,-nan-nand,+inf+111.579d,-nan+nanj,-nan-nand,+inf-128.655d,-nan+nanj,-nan-nand
2009-01-01 00:49:00 PST,+inf-0.0146012d,-nan+nanj,-nan-nand,+inf-120.111d,-nan+nanj,-nan-nand,+inf+120.127d,-nan+nanj,-nan-nand
2009-01-01 00:50:00 PST,+inf-8.51578d,-nan+nanj,-nan-nand,+inf+111.583d,-nan+nanj,-nan-nand,+inf-128.66d,-nan+nanj,-nan-nand
2009-01-01 00:51:00 PST,+inf-0.0153191d,-nan+nanj,-nan-nand,+inf-120.115d,-nan+nanj,-nan-nand,+inf+120.131d,-nan+nanj,-nan-nand
2009-01-01 00:52:00 PST,+inf-8.51507d,-nan+nanj,-nan-nand,+inf+111.586d,-nan+nanj,-nan-nand,+inf-128.664d,-nan+nanj,-nan-nand
2009-01-01 00:53:00 PST,+inf-0.0160369d,-nan+nanj,-nan-nand,+inf-120.119d,-nan+nanj,-nan-nand,+inf+120.136d,-nan+nanj,-nan-nand
2009-01-01 00:54:00 PST,+inf-8.51435d,-nan+nanj,-nan-nand,+inf+111.59d,-nan+nanj,-nan-nand,+inf-128.669d,-nan+nanj,-nan-nand
2009-01-01 00:55:00 PST,+inf-0.0167545d,-nan+nanj,-nan-nand,+inf-120.123d,-nan+nanj,-nan-nand,+inf+120.14d,-nan+nanj,-nan-nand
2009-01-01 00:56:00 PST,+inf-8.51363d,-nan+nanj,-nan-nand,+inf+111.594d,-nan+nanj,-nan-nand,+inf-128.673d,-nan+nanj,-nan-nand
2009-01-01 00:57:00 PST,+inf-0.0174721d,-nan+nanj,-nan-nand,+inf-120.127d,-nan+nanj,-nan-nand,+inf+120.145d,-nan+nanj,-nan-nand
2009-01-01 00:58:00 PST,+inf-8.51291d,-nan+nanj,-nan-nand,+inf+111.598d,-nan+nanj,-nan-nand,+inf-128.678d,-nan+nanj,-nan-nand
2009-01-01 00:59:00 PST,+inf-0.0181895d,-nan+nanj,-nan-nand,+inf-120.13d,-nan+nanj,-nan-nand,+inf+120.149d,-nan+nanj,-nan-nand
