# file...... load_data.csv
# date...... Wed Jan 29 16:18:53 2025
# user...... (null)
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A,measured_voltage_B, measured_current_B, measured_power_B,measured_voltage_C, measured_current_C, measured_power_C
2009-01-01 00:00:00 PST,+398.948-0.267537d,+1.75284-0.38418j,+715.893+12.0948d,+398.827-120.395d,-1.21244-1.32363j,+715.892+12.0947d,+400.689+119.636d,-1.18925+1.33335j,+715.895-12.0949d
2009-01-01 00:29:00 PST,+1.99214e+129+160.306d,-1.61823e+133-2.52894e+132j,+inf-28.5763d,+1.98832e+129+40.252d,+5.90406e+132+1.52439e+133j,+inf-28.5763d,+1.98909e+129-79.6105d,+1.02841e+133-1.27153e+133j,+inf-28.5763d
2009-01-01 00:30:00 PST,+4.70171e+133+151.795d,-3.86551e+137-2.50334e+135j,+inf-28.5763d,+4.69238e+133-88.1497d,+1.95378e+137-3.3266e+137j,+inf-28.5763d,+4.69426e+133+31.7086d,+1.91309e+137+3.35194e+137j,+inf-28.5763d
2009-01-01 00:31:00 PST,+1.10967e+138+160.305d,-9.01391e+141-1.40856e+141j,+inf-28.5763d,+1.10739e+138+40.2482d,+3.28881e+141+8.48981e+141j,+inf-28.5763d,+1.10784e+138-79.6059d,+5.72838e+141-7.08145e+141j,+inf-28.5763d
2009-01-01 00:32:00 PST,+2.61896e+142+151.795d,-2.15317e+146-1.39712e+144j,+inf-28.5763d,+2.61341e+142-88.1459d,+1.08827e+146-1.85267e+146j,+inf-28.5763d,+2.61451e+142+31.7041d,+1.06566e+146+1.86681e+146j,+inf-28.5763d
2009-01-01 00:33:00 PST,+6.18109e+146+160.305d,-5.02096e+150-7.84537e+149j,+inf-28.5763d,+6.16757e+146+40.2444d,+1.83201e+150+4.72825e+150j,+inf-28.5763d,+6.17023e+146-79.6014d,+3.19078e+150-3.94382e+150j,+inf-28.5763d
2009-01-01 00:34:00 PST,+1.45882e+151+151.796d,-1.19937e+155-7.79731e+152j,+inf-28.5763d,+1.45553e+151-88.1421d,+6.06178e+154-1.0318e+155j,+inf-28.5763d,+1.45617e+151+31.6995d,+5.9361e+154+1.03969e+155j,+inf-28.5763d
2009-01-01 00:35:00 PST,+inf+160.304d,-nan+nanj,-nan-nand,+inf+40.2406d,-nan+nanj,-nan-nand,+inf-79.5969d,-nan+nanj,-nan-nand
2009-01-01 00:36:00 PST,+inf+151.797d,-nan+nanj,-nan-nand,+inf-88.1383d,-nan+nanj,-nan-nand,+inf+31.695d,-nan+nanj,-nan-nand
2009-01-01 00:37:00 PST,+inf+160.303d,-nan+nanj,-nan-nand,+inf+40.2368d,-nan+nanj,-nan-nand,+inf-79.5924d,-nan+nanj,-nan-nand
2009-01-01 00:38:00 PST,+inf+151.798d,-nan+nanj,-nan-nand,+inf-88.1345d,-nan+nanj,-nan-nand,+inf+31.6905d,-nan+nanj,-nan-nand
